Privat 31		Privat 01		Privat 02		Privat 03		* Privat 04
CMCC 9480 4018	05:22:38	CMCC 9480 4018	08:56:41	F. support 9460 2671	10:44:01		11:49:30	WP 53 9488 9580	09:11:50
	05:41:03		11:39:54	DFU 9460 2672	11:29:22	Comp 9462 4623	12:11:33	STOD dok (???)	09:40:22
CMCC 9480 4018	06:39:33	CMCC 9480 4018	12:40:00	Comp 9462 4623	11:30:22	WP 53 9488 9580	13:25:38		11:11:24
WP 53 9488 9580	06:44:56		13:18:27		13:18:53		16:00:04	Comp 9462 4623	12:45:21
TR (PLM) 9123 6718	07:41:13	CMCC 9480 4018	13:49:28	Comp 9462 4623	13:44:13				13:29:42
DFU 9460 2672	07:48:05		17:10:45	WP 53 9488 9580	13:52:16			Comp 9462 4623	13:53:20
F. support 9460 2671	08:55:40			Comp 9462 4623	14:01:44				15:40:55
DFU 9460 2672	09:20:25			STOD dok (???)	14:07:18
	10:04:35			WP 53 9488 9580	16:20:00
Comp 9462 4623	11:52:13			Comp 9462 4623	16:44:45
CMCC 9480 4018	12:16:34			WP 53 9488 9580	16:52:00
	14:36:37				17:52:56
CMCC 9480 4018	16:59:12
STOD dok (???)	17:42:46
	18:18:35
