#
# Akira, är det anime och japan?
# Vad menar jag med (*)? Jag hade skrivit * framfär positionen tidigare.
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentar
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§nintendods
#kategori:§ps3
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§xbox
#kategori:§zoombie
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#spoken/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
B72	Star Trek 4 - The Voyage Home		*dvd, §sf, #en/se
B73	Star Trek 5 - The Final Frontier		*dvd, §sf, #en/se
B74	Star Trek 6 - The Undiscovered Country	*dvd, §sf, #en/se
B75	Star Trek 7 - Generations      		*dvd, §sf, #en/se
B76	Star Trek 8 - First Contact    		*dvd, §sf, #en/se
B77	Star Trek 9 - Insurrection		*dvd, §sf, #en/se
B78	Hur man blir av med en kille på 10 dagar	*dvd, #en/?
B79	Rederiet S02 1/2    *xvid, #se/?, §sverige
B80	Rederiet S02 2/2    *xvid, #se/?, §sverige
B81	Tusenbröder - Återkomsten	*dvd, #se/?, §sverige
B82	Tarzan och Jane		*dvd, §animerat, #?/?
B83	The Missing 1/2	*dvd, #en/se
B84	The Missing 2/2	*dvd, #en/se
B85	Harry Potter och hemligheternas kammare 1/2	*dvd, #en/se, §fantasy
B86	Harry Potter och hemligheternas kammare 2/2	*dvd, #en/se, §fantasy
B87	Frostbiten   *dvd, #se/?, §sverige
B88	Getaway in Stockholm 5	*dvd, #se/?, §sverige
B89	Getaway in Stockholm 6	*dvd, #se/?, §sverige
B90	Jimi Hendrix - Learn to play	*?, §?, #?/?
B91	Caligula 1/2	*dvd, #en/se
B92	Caligula 2/2	*dvd, #en/se
B93	Alien 1		*dvd, #en/?, §sf, &ms		
B94	Aliens		*dvd, #en/?, §sf, &ms
B95	Alien 3		*dvd, #en/?, §sf, &ms
B94	Alien - Resurrection	*dvd, #en/?, §sf, &ms
B97	Mission Impossible III (2006)	*dvd, #en/se
B98	The Exorcism of Emily Rose	*dvd, #en/se
B99	American Psycho (2000)		*dvd, #en/se
B100	Supersize me	*dvd, #en/se
B101	Fredag 13:e I	*dvd, #en/en
B102	Fredag 13:e II	*dvd, #en/en
B103	Fredag 13:e III	*dvd, #en/en
B104	Fredag 13:e IV	*dvd, #en/en
B105	Fredag 13:e V	*dvd, #en/en
B106	Fredag 13:e VI	*dvd, #en/en
B107	Fredag 13:e VII	*dvd, #en/en
B108	Fredag 13:e VIII	*dvd, #en/en
B109	Fredag 13:e - The final friday	*dvd, #en/en
B110	Land of the dead  *dvd, §zoombie, #en/se
B111	I'll always know what you did last summer	*dvd, #en/se, (*)
B112	Mamma pappa barn	*dvd, #se/?, §sverige
B113	Svensson, Svensson S01	*xvid, #se/?, §sverige
B114	Svensson, Svensson S02	*xvid, #se/?, §sverige
B115	Svensson, Svensson - filmen	*dvd, #se/?, §sverige
#
#------------------------
#
B116	Hellraiser	   §zoombie
B117	Monsters Inc.	   se
B118	Monsters Inc. extra	no sub
B119	Gothika	 se
B120	Flickan med pärlörhänge	*dvd
B121	Rederiet S02 1/2	*xvid, §sverige
B122	Rederiet S02 2/2	*xvid, §sverige
B123	Harry Potter och den vises sten 1/2	*dvd, §fantasy
B124	Harry Potter och den vises sten 2/2	*dvd, §fantasy
B125	TOS S01 1/3  *xvid	§sf
B126	TOS S01 2/3  *xvid	§sf
B127	TOS S01 3/3  *xvid	§sf
B128	TOS S02 1/3  *xvid	§sf
B129	TOS S02 2/3  *xvid	§sf
B130	TOS S02 3/3  *xvid	§sf
B131	TOS S03	1/2  *xvid	§sf
B132	TOS S03 2/2  *xvid	§sf
B133	Svensson, Svensson	§sverige
B134	Getaway in Stockholm 7	§sverige
B135	Davincikoden
B136	James Bond Themes	§bond
B137	Twin Peaks S01	*xvid, &ms
B138	Twin Peaks S02 1/2	*xvid, &ms
B139	Twin Peaks S02 2/2	*xvid, &ms
B140	Musses jul i Ankeborg (2004)	se, §jul
B141	TNG S01 1/3		§sf, &ms
B142	TNG S01 2/3		§sf, &ms
B143	TNG S01 3/3		§sf, &ms
B144	TNG S02	1/2		§sf
B145	TNG S02 2/2		§sf
B146	TNG S03	1/3		§sf
B147	TNG S03	2/3		§sf
B148	TNG S03 3/3		§sf
B149	TNG S04 1/3		§sf
B150	TNG S04 2/3		§sf
B151	TNG S04 3/3		§sf
B152	TNG S05 1/3		§sf
B153	TNG S05 2/3		§sf
B154	TNG S05 3/3		§sf
B155	TNG S06 1/3		§sf
B156	TNG S06 2/3		§sf
B157	TNG S06 3/3		§sf
B158	Nightmare before Christmas	se, §animerat, §jul
B159	Gremlins  se, §jul
B160	Grinch	  se
#
C1	Karlsson på taket	se, §astrid
C2	Rasmus på luffen	se, §astrid
C3	Ronja Rövardotter	se, §astrid
C4	Bröderna Lejonhjärta	se, §astrid
C5	Alla vi barn i Bullerbyn	se, §astrid
C6	Mer om oss barn i bullerbyn	se, §astrid
C7	Lotta på Bråkmargatan		se, §astrid
C8	Lotta flyttar hemifrån		se, §astrid
C9	Madicken på Junibacken		se, §astrid
C10	Du är inte klok Madicken	se, §astrid
C11	Pippi Långstrump på de sju haven	se, §astrid
C12	På rymmen med Pippi Långstrump		se, §astrid
C13	Tjorven och Skrållan			se, §astrid
C14	Tjorven, Båtsman och Moses		se, §astrid
C15	Tjorven och Mysak    			se, §astrid
C16	Skrållan, Ruskprick och Knorrhane	se, §astrid
C17	Emil i Lönneberga   			se, §astrid
C18	Nya hyss av Emil i Lönneberga	se, §astrid
C19	Emil och Griseknoen		se, §astrid
C20	Star Trek Nemesis (2002)	§sf
